"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,exp,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,1,1152223,1,7
"fpop",fpop,exp,,100,0,9.21034037197618,1e-09,10,0.01,1,4910488,1,NA
"dust",dust,exp,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,1,1281537,1,4
"fpop",fpop,exp,,100,10,9.21034037197618,1e-09,10,0.01,1,4155432,1,NA
"dust",dust,exp,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,1,791259,1,5
"fpop",fpop,exp,,100,20,9.21034037197618,1e-09,10,0.01,1,16643335,1,NA
"dust",dust,exp,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,1,471131,1,7
"fpop",fpop,exp,,100,30,9.21034037197618,1e-09,10,0.01,1,2993492,1,NA
"dust",dust,exp,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,1,1107492,1,7
"fpop",fpop,exp,,100,40,9.21034037197618,1e-09,10,0.01,1,14483906,1,NA
"dust",dust,exp,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,1,436445,1,9
"fpop",fpop,exp,,100,50,9.21034037197618,1e-09,10,0.01,1,2924243,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,1,678673,1,6
"fpop",fpop,exp,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,1,3507058,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,1,963664,1,6
"fpop",fpop,exp,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,1,4333659,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,1,16490364,1,8
"fpop",fpop,exp,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,1,3119034,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,1,641814,1,4
"fpop",fpop,exp,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,1,4873219,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,1,503726,1,10
"fpop",fpop,exp,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,1,4972439,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,1,521561,1,15
"fpop",fpop,exp,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,1,9476740,1,NA
"dust",dust,exp,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,1,3128464,1,11
"fpop",fpop,exp,,500,0,12.4292161968444,1e-09,10,0.01,1,7772452,1,NA
"dust",dust,exp,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,1,699050,1,10
"fpop",fpop,exp,,500,10,12.4292161968444,1e-09,10,0.01,1,3972367,1,NA
"dust",dust,exp,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,1,3898321,1,8
"fpop",fpop,exp,,500,20,12.4292161968444,1e-09,10,0.01,1,10845771,1,NA
"dust",dust,exp,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,1,771415,1,9
"fpop",fpop,exp,,500,30,12.4292161968444,1e-09,10,0.01,1,6013019,1,NA
"dust",dust,exp,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,1,9414379,1,9
"fpop",fpop,exp,,500,40,12.4292161968444,1e-09,10,0.01,1,7110999,1,NA
"dust",dust,exp,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,1,7511405,1,14
"fpop",fpop,exp,,500,50,12.4292161968444,1e-09,10,0.01,1,10202235,1,NA
"dust",dust,exp,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,2,1598262,1,2
"fpop",fpop,exp,,100,0,9.21034037197618,1e-09,10,0.01,2,10746223,1,NA
