"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,1,1225490,1,8
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,1,284622,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,1,612007,1,6
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,1,314675,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,1,1607856,1,7
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,1,121073,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,1,1284612,1,8
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,1,130831,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,1,913890,1,8
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,1,288845,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,1,789947,2,5
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,1,229395,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,1,527342,1,5
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,1,189789,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,1,1376903,1,7
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,1,176341,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,1,1686740,1,6
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,1,255594,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,1,1222497,1,6
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,1,176177,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,1,4700404,1,11
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,1,469081,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,1,544398,1,6
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,1,163057,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,1,710940,1,4
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,1,276463,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,1,536690,1,2
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,1,465432,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,1,1296543,1,4
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,1,348172,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,1,7197632,1,9
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,1,287779,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,1,601716,1,11
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,1,239071,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,1,1619582,2,13
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,1,225500,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,2,4160065,1,4
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,2,194914,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,2,517297,1,7
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,2,106313,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,2,518896,1,6
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,2,154652,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,2,520003,1,6
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,2,339890,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,2,454813,2,9
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,2,288722,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,2,436076,2,5
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,2,282121,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,2,1199824,1,4
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,2,399832,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,2,490278,1,4
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,2,237472,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,2,545669,1,6
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,2,194504,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,2,364654,1,8
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,2,388024,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,2,1234961,1,8
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,2,1555417,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,2,992692,2,10
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,2,154037,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,2,441324,1,6
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,2,193028,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,2,444153,1,6
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,2,217136,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,2,515903,1,16
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,2,264696,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,2,463669,1,10
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,2,309099,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,2,1335288,1,7
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,2,1434590,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,2,514345,1,12
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,2,293027,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,3,986911,1,7
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,3,246451,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,3,1136971,1,6
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,3,288927,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,3,891955,1,7
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,3,286836,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,3,484087,1,9
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,3,172241,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,3,522668,1,9
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,3,265516,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,3,497289,2,6
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,3,265065,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,3,1253821,1,5
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,3,168797,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,3,488720,1,4
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,3,190199,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,3,4960795,1,10
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,3,181753,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,3,1058784,1,10
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,3,167608,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,3,1092609,1,10
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,3,171585,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,3,1557303,2,13
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,3,2096699,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,3,451902,1,7
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,3,336159,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,3,524513,1,8
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,3,284130,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,3,3121330,1,4
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,3,251330,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,3,2456884,1,8
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,3,287082,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,3,583143,1,9
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,3,209305,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,3,2106498,1,10
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,3,183844,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,4,3184019,1,8
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,4,289091,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,4,1177315,1,6
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,4,78802,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,4,506924,1,4
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,4,127018,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,4,512459,1,10
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,4,121278,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,4,774818,2,9
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,4,181876,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,4,2041062,2,4
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,4,527137,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,4,555550,1,3
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,4,445137,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,4,1015775,1,7
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,4,223532,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,4,443415,1,13
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,4,839352,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,4,542676,1,12
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,4,173922,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,4,565677,1,10
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,4,461824,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,4,513156,3,8
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,4,383842,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,4,531155,1,4
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,4,477527,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,4,1211099,1,11
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,4,267730,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,4,526440,1,5
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,4,249485,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,4,1352344,1,7
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,4,782649,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,4,570351,1,13
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,4,252150,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,4,834391,1,9
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,4,224475,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,5,957637,1,5
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,5,241900,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,5,538986,1,3
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,5,164656,1,NA
