"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,1,1691414,3,3
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,1,11714561,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,1,2308669,8,9
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,1,3068235,1,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,1,550343,5,6
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,1,4892571,1,NA
"dust",dust,negbin,detIndex_Eval4,100,30,0.921034037197618,1e-09,10,0.01,1,1622821,4,5
"fpop",fpop,negbin,,100,30,0.921034037197618,1e-09,10,0.01,1,10809978,1,NA
"dust",dust,negbin,detIndex_Eval4,100,40,0.921034037197618,1e-09,10,0.01,1,3805251,4,4
"fpop",fpop,negbin,,100,40,0.921034037197618,1e-09,10,0.01,1,2836585,3,NA
"dust",dust,negbin,detIndex_Eval4,100,50,0.921034037197618,1e-09,10,0.01,1,409426,2,7
"fpop",fpop,negbin,,100,50,0.921034037197618,1e-09,10,0.01,1,11702302,2,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,0,1.08197782844103,1e-09,10,0.01,1,594992,1,5
"fpop",fpop,negbin,,223.606797749979,0,1.08197782844103,1e-09,10,0.01,1,3378769,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,10,1.08197782844103,1e-09,10,0.01,1,562684,6,11
"fpop",fpop,negbin,,223.606797749979,10,1.08197782844103,1e-09,10,0.01,1,4847963,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,20,1.08197782844103,1e-09,10,0.01,1,664815,12,7
"fpop",fpop,negbin,,223.606797749979,20,1.08197782844103,1e-09,10,0.01,1,3839404,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,30,1.08197782844103,1e-09,10,0.01,1,1505274,9,3
"fpop",fpop,negbin,,223.606797749979,30,1.08197782844103,1e-09,10,0.01,1,3674871,3,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,40,1.08197782844103,1e-09,10,0.01,1,643782,7,4
"fpop",fpop,negbin,,223.606797749979,40,1.08197782844103,1e-09,10,0.01,1,10803828,6,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,50,1.08197782844103,1e-09,10,0.01,1,787774,5,5
"fpop",fpop,negbin,,223.606797749979,50,1.08197782844103,1e-09,10,0.01,1,19317273,5,NA
"dust",dust,negbin,detIndex_Eval4,500,0,1.24292161968444,1e-09,10,0.01,1,707619,1,7
"fpop",fpop,negbin,,500,0,1.24292161968444,1e-09,10,0.01,1,4331486,1,NA
"dust",dust,negbin,detIndex_Eval4,500,10,1.24292161968444,1e-09,10,0.01,1,1939997,20,5
"fpop",fpop,negbin,,500,10,1.24292161968444,1e-09,10,0.01,1,8474495,1,NA
"dust",dust,negbin,detIndex_Eval4,500,20,1.24292161968444,1e-09,10,0.01,1,1987352,25,8
"fpop",fpop,negbin,,500,20,1.24292161968444,1e-09,10,0.01,1,6114453,1,NA
"dust",dust,negbin,detIndex_Eval4,500,30,1.24292161968444,1e-09,10,0.01,1,1045336,21,11
"fpop",fpop,negbin,,500,30,1.24292161968444,1e-09,10,0.01,1,14733268,1,NA
"dust",dust,negbin,detIndex_Eval4,500,40,1.24292161968444,1e-09,10,0.01,1,643905,14,5
"fpop",fpop,negbin,,500,40,1.24292161968444,1e-09,10,0.01,1,22304246,1,NA
"dust",dust,negbin,detIndex_Eval4,500,50,1.24292161968444,1e-09,10,0.01,1,2505551,11,5
"fpop",fpop,negbin,,500,50,1.24292161968444,1e-09,10,0.01,1,4825536,10,NA
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,2,3240681,1,9
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,2,18877876,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,2,506350,12,2
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,2,3484918,1,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,2,548785,6,3
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,2,7030885,3,NA
"dust",dust,negbin,detIndex_Eval4,100,30,0.921034037197618,1e-09,10,0.01,2,514058,4,5
"fpop",fpop,negbin,,100,30,0.921034037197618,1e-09,10,0.01,2,21060880,3,NA
"dust",dust,negbin,detIndex_Eval4,100,40,0.921034037197618,1e-09,10,0.01,2,509630,5,4
"fpop",fpop,negbin,,100,40,0.921034037197618,1e-09,10,0.01,2,2783695,3,NA
"dust",dust,negbin,detIndex_Eval4,100,50,0.921034037197618,1e-09,10,0.01,2,564324,7,6
"fpop",fpop,negbin,,100,50,0.921034037197618,1e-09,10,0.01,2,8040838,2,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,0,1.08197782844103,1e-09,10,0.01,2,1246359,1,8
"fpop",fpop,negbin,,223.606797749979,0,1.08197782844103,1e-09,10,0.01,2,16857519,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,10,1.08197782844103,1e-09,10,0.01,2,645586,16,8
"fpop",fpop,negbin,,223.606797749979,10,1.08197782844103,1e-09,10,0.01,2,9132381,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,20,1.08197782844103,1e-09,10,0.01,2,558748,13,4
"fpop",fpop,negbin,,223.606797749979,20,1.08197782844103,1e-09,10,0.01,2,3564581,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,30,1.08197782844103,1e-09,10,0.01,2,591507,8,4
"fpop",fpop,negbin,,223.606797749979,30,1.08197782844103,1e-09,10,0.01,2,10127902,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,40,1.08197782844103,1e-09,10,0.01,2,611802,9,6
"fpop",fpop,negbin,,223.606797749979,40,1.08197782844103,1e-09,10,0.01,2,9010775,5,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,50,1.08197782844103,1e-09,10,0.01,2,580191,5,5
"fpop",fpop,negbin,,223.606797749979,50,1.08197782844103,1e-09,10,0.01,2,3875484,3,NA
"dust",dust,negbin,detIndex_Eval4,500,0,1.24292161968444,1e-09,10,0.01,2,2138150,3,9
"fpop",fpop,negbin,,500,0,1.24292161968444,1e-09,10,0.01,2,31654378,1,NA
"dust",dust,negbin,detIndex_Eval4,500,10,1.24292161968444,1e-09,10,0.01,2,811841,10,7
"fpop",fpop,negbin,,500,10,1.24292161968444,1e-09,10,0.01,2,6089648,1,NA
"dust",dust,negbin,detIndex_Eval4,500,20,1.24292161968444,1e-09,10,0.01,2,1892314,26,4
"fpop",fpop,negbin,,500,20,1.24292161968444,1e-09,10,0.01,2,5601174,1,NA
"dust",dust,negbin,detIndex_Eval4,500,30,1.24292161968444,1e-09,10,0.01,2,718648,18,4
"fpop",fpop,negbin,,500,30,1.24292161968444,1e-09,10,0.01,2,7214114,2,NA
"dust",dust,negbin,detIndex_Eval4,500,40,1.24292161968444,1e-09,10,0.01,2,694130,15,6
"fpop",fpop,negbin,,500,40,1.24292161968444,1e-09,10,0.01,2,26136106,3,NA
"dust",dust,negbin,detIndex_Eval4,500,50,1.24292161968444,1e-09,10,0.01,2,2018840,11,5
"fpop",fpop,negbin,,500,50,1.24292161968444,1e-09,10,0.01,2,6319658,10,NA
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,3,1177643,4,9
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,3,24991755,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,3,553295,11,4
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,3,2973894,1,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,3,1310524,6,5
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,3,3297712,3,NA
