"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,poisson,detIndex_Eval4,100,0,3.07011345732539,1e-09,10,0.01,1,3454004,1,9
"fpop",fpop,poisson,,100,0,3.07011345732539,1e-09,10,0.01,1,10242169,1,NA
"dust",dust,poisson,detIndex_Eval4,100,10,3.07011345732539,1e-09,10,0.01,1,1370712,4,14
"fpop",fpop,poisson,,100,10,3.07011345732539,1e-09,10,0.01,1,2969589,1,NA
"dust",dust,poisson,detIndex_Eval4,100,20,3.07011345732539,1e-09,10,0.01,1,1460871,6,8
"fpop",fpop,poisson,,100,20,3.07011345732539,1e-09,10,0.01,1,8427673,1,NA
"dust",dust,poisson,detIndex_Eval4,100,30,3.07011345732539,1e-09,10,0.01,1,5303801,6,7
"fpop",fpop,poisson,,100,30,3.07011345732539,1e-09,10,0.01,1,2764753,3,NA
"dust",dust,poisson,detIndex_Eval4,100,40,3.07011345732539,1e-09,10,0.01,1,525989,3,10
"fpop",fpop,poisson,,100,40,3.07011345732539,1e-09,10,0.01,1,3333874,1,NA
"dust",dust,poisson,detIndex_Eval4,100,50,3.07011345732539,1e-09,10,0.01,1,577526,2,7
"fpop",fpop,poisson,,100,50,3.07011345732539,1e-09,10,0.01,1,7121905,2,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,0,3.60659276147009,1e-09,10,0.01,1,656082,1,5
"fpop",fpop,poisson,,223.606797749979,0,3.60659276147009,1e-09,10,0.01,1,3531371,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,10,3.60659276147009,1e-09,10,0.01,1,613032,2,7
"fpop",fpop,poisson,,223.606797749979,10,3.60659276147009,1e-09,10,0.01,1,3445927,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,20,3.60659276147009,1e-09,10,0.01,1,658255,11,5
"fpop",fpop,poisson,,223.606797749979,20,3.60659276147009,1e-09,10,0.01,1,3517103,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,30,3.60659276147009,1e-09,10,0.01,1,544603,8,6
"fpop",fpop,poisson,,223.606797749979,30,3.60659276147009,1e-09,10,0.01,1,12964118,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,40,3.60659276147009,1e-09,10,0.01,1,540503,6,7
"fpop",fpop,poisson,,223.606797749979,40,3.60659276147009,1e-09,10,0.01,1,21395522,2,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,50,3.60659276147009,1e-09,10,0.01,1,629924,4,7
"fpop",fpop,poisson,,223.606797749979,50,3.60659276147009,1e-09,10,0.01,1,3563433,2,NA
"dust",dust,poisson,detIndex_Eval4,500,0,4.14307206561479,1e-09,10,0.01,1,1586577,1,6
"fpop",fpop,poisson,,500,0,4.14307206561479,1e-09,10,0.01,1,4403974,1,NA
"dust",dust,poisson,detIndex_Eval4,500,10,4.14307206561479,1e-09,10,0.01,1,681748,14,7
"fpop",fpop,poisson,,500,10,4.14307206561479,1e-09,10,0.01,1,5044599,1,NA
"dust",dust,poisson,detIndex_Eval4,500,20,4.14307206561479,1e-09,10,0.01,1,4898762,10,9
"fpop",fpop,poisson,,500,20,4.14307206561479,1e-09,10,0.01,1,4411846,1,NA
"dust",dust,poisson,detIndex_Eval4,500,30,4.14307206561479,1e-09,10,0.01,1,831562,17,5
"fpop",fpop,poisson,,500,30,4.14307206561479,1e-09,10,0.01,1,7945308,1,NA
"dust",dust,poisson,detIndex_Eval4,500,40,4.14307206561479,1e-09,10,0.01,1,933570,12,5
"fpop",fpop,poisson,,500,40,4.14307206561479,1e-09,10,0.01,1,5147632,7,NA
"dust",dust,poisson,detIndex_Eval4,500,50,4.14307206561479,1e-09,10,0.01,1,3289635,11,6
"fpop",fpop,poisson,,500,50,4.14307206561479,1e-09,10,0.01,1,7863226,1,NA
"dust",dust,poisson,detIndex_Eval4,100,0,3.07011345732539,1e-09,10,0.01,2,1172231,1,11
"fpop",fpop,poisson,,100,0,3.07011345732539,1e-09,10,0.01,2,11068114,1,NA
"dust",dust,poisson,detIndex_Eval4,100,10,3.07011345732539,1e-09,10,0.01,2,516231,3,5
"fpop",fpop,poisson,,100,10,3.07011345732539,1e-09,10,0.01,2,2913829,1,NA
"dust",dust,poisson,detIndex_Eval4,100,20,3.07011345732539,1e-09,10,0.01,2,805404,5,6
"fpop",fpop,poisson,,100,20,3.07011345732539,1e-09,10,0.01,2,6323922,2,NA
"dust",dust,poisson,detIndex_Eval4,100,30,3.07011345732539,1e-09,10,0.01,2,379496,5,3
"fpop",fpop,poisson,,100,30,3.07011345732539,1e-09,10,0.01,2,9539224,2,NA
"dust",dust,poisson,detIndex_Eval4,100,40,3.07011345732539,1e-09,10,0.01,2,470762,4,5
"fpop",fpop,poisson,,100,40,3.07011345732539,1e-09,10,0.01,2,17766530,3,NA
"dust",dust,poisson,detIndex_Eval4,100,50,3.07011345732539,1e-09,10,0.01,2,525046,5,5
"fpop",fpop,poisson,,100,50,3.07011345732539,1e-09,10,0.01,2,4621889,3,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,0,3.60659276147009,1e-09,10,0.01,2,668505,3,4
"fpop",fpop,poisson,,223.606797749979,0,3.60659276147009,1e-09,10,0.01,2,8563629,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,10,3.60659276147009,1e-09,10,0.01,2,1174486,13,7
"fpop",fpop,poisson,,223.606797749979,10,3.60659276147009,1e-09,10,0.01,2,3178566,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,20,3.60659276147009,1e-09,10,0.01,2,7612962,11,7
"fpop",fpop,poisson,,223.606797749979,20,3.60659276147009,1e-09,10,0.01,2,10407317,6,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,30,3.60659276147009,1e-09,10,0.01,2,587489,9,3
"fpop",fpop,poisson,,223.606797749979,30,3.60659276147009,1e-09,10,0.01,2,13739715,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,40,3.60659276147009,1e-09,10,0.01,2,1256363,6,5
"fpop",fpop,poisson,,223.606797749979,40,3.60659276147009,1e-09,10,0.01,2,11212844,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,50,3.60659276147009,1e-09,10,0.01,2,530048,7,5
"fpop",fpop,poisson,,223.606797749979,50,3.60659276147009,1e-09,10,0.01,2,11859660,5,NA
"dust",dust,poisson,detIndex_Eval4,500,0,4.14307206561479,1e-09,10,0.01,2,1706502,1,9
"fpop",fpop,poisson,,500,0,4.14307206561479,1e-09,10,0.01,2,4189052,1,NA
"dust",dust,poisson,detIndex_Eval4,500,10,4.14307206561479,1e-09,10,0.01,2,5699246,6,11
"fpop",fpop,poisson,,500,10,4.14307206561479,1e-09,10,0.01,2,4236120,1,NA
"dust",dust,poisson,detIndex_Eval4,500,20,4.14307206561479,1e-09,10,0.01,2,748291,8,4
"fpop",fpop,poisson,,500,20,4.14307206561479,1e-09,10,0.01,2,13042592,2,NA
"dust",dust,poisson,detIndex_Eval4,500,30,4.14307206561479,1e-09,10,0.01,2,1626552,14,4
"fpop",fpop,poisson,,500,30,4.14307206561479,1e-09,10,0.01,2,9914005,3,NA
"dust",dust,poisson,detIndex_Eval4,500,40,4.14307206561479,1e-09,10,0.01,2,3572535,12,4
"fpop",fpop,poisson,,500,40,4.14307206561479,1e-09,10,0.01,2,17225658,1,NA
"dust",dust,poisson,detIndex_Eval4,500,50,4.14307206561479,1e-09,10,0.01,2,2586731,10,6
"fpop",fpop,poisson,,500,50,4.14307206561479,1e-09,10,0.01,2,5302038,8,NA
"dust",dust,poisson,detIndex_Eval4,100,0,3.07011345732539,1e-09,10,0.01,3,1580468,4,9
"fpop",fpop,poisson,,100,0,3.07011345732539,1e-09,10,0.01,3,9682888,1,NA
"dust",dust,poisson,detIndex_Eval4,100,10,3.07011345732539,1e-09,10,0.01,3,1320036,11,3
"fpop",fpop,poisson,,100,10,3.07011345732539,1e-09,10,0.01,3,2757168,1,NA
"dust",dust,poisson,detIndex_Eval4,100,20,3.07011345732539,1e-09,10,0.01,3,493599,5,4
"fpop",fpop,poisson,,100,20,3.07011345732539,1e-09,10,0.01,3,2959995,2,NA
"dust",dust,poisson,detIndex_Eval4,100,30,3.07011345732539,1e-09,10,0.01,3,448827,4,7
"fpop",fpop,poisson,,100,30,3.07011345732539,1e-09,10,0.01,3,3624031,1,NA
"dust",dust,poisson,detIndex_Eval4,100,40,3.07011345732539,1e-09,10,0.01,3,542102,7,9
"fpop",fpop,poisson,,100,40,3.07011345732539,1e-09,10,0.01,3,8576790,3,NA
"dust",dust,poisson,detIndex_Eval4,100,50,3.07011345732539,1e-09,10,0.01,3,1009871,5,6
"fpop",fpop,poisson,,100,50,3.07011345732539,1e-09,10,0.01,3,23144172,2,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,0,3.60659276147009,1e-09,10,0.01,3,574328,5,8
"fpop",fpop,poisson,,223.606797749979,0,3.60659276147009,1e-09,10,0.01,3,2992959,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,10,3.60659276147009,1e-09,10,0.01,3,1256773,6,6
"fpop",fpop,poisson,,223.606797749979,10,3.60659276147009,1e-09,10,0.01,3,2882874,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,20,3.60659276147009,1e-09,10,0.01,3,1255953,8,7
"fpop",fpop,poisson,,223.606797749979,20,3.60659276147009,1e-09,10,0.01,3,3892212,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,30,3.60659276147009,1e-09,10,0.01,3,568588,6,6
"fpop",fpop,poisson,,223.606797749979,30,3.60659276147009,1e-09,10,0.01,3,3532109,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,40,3.60659276147009,1e-09,10,0.01,3,1281660,6,4
"fpop",fpop,poisson,,223.606797749979,40,3.60659276147009,1e-09,10,0.01,3,15789551,2,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,50,3.60659276147009,1e-09,10,0.01,3,604627,7,6
"fpop",fpop,poisson,,223.606797749979,50,3.60659276147009,1e-09,10,0.01,3,4091308,5,NA
"dust",dust,poisson,detIndex_Eval4,500,0,4.14307206561479,1e-09,10,0.01,3,810693,1,7
"fpop",fpop,poisson,,500,0,4.14307206561479,1e-09,10,0.01,3,4206026,1,NA
"dust",dust,poisson,detIndex_Eval4,500,10,4.14307206561479,1e-09,10,0.01,3,728734,3,8
"fpop",fpop,poisson,,500,10,4.14307206561479,1e-09,10,0.01,3,4857106,1,NA
"dust",dust,poisson,detIndex_Eval4,500,20,4.14307206561479,1e-09,10,0.01,3,1702689,13,14
"fpop",fpop,poisson,,500,20,4.14307206561479,1e-09,10,0.01,3,7409848,1,NA
"dust",dust,poisson,detIndex_Eval4,500,30,4.14307206561479,1e-09,10,0.01,3,1813225,11,8
"fpop",fpop,poisson,,500,30,4.14307206561479,1e-09,10,0.01,3,18173742,5,NA
"dust",dust,poisson,detIndex_Eval4,500,40,4.14307206561479,1e-09,10,0.01,3,677361,13,6
"fpop",fpop,poisson,,500,40,4.14307206561479,1e-09,10,0.01,3,6946179,5,NA
"dust",dust,poisson,detIndex_Eval4,500,50,4.14307206561479,1e-09,10,0.01,3,1650742,11,5
"fpop",fpop,poisson,,500,50,4.14307206561479,1e-09,10,0.01,3,5955168,5,NA
"dust",dust,poisson,detIndex_Eval4,100,0,3.07011345732539,1e-09,10,0.01,4,3695289,1,4
"fpop",fpop,poisson,,100,0,3.07011345732539,1e-09,10,0.01,4,4589171,1,NA
"dust",dust,poisson,detIndex_Eval4,100,10,3.07011345732539,1e-09,10,0.01,4,497125,6,5
"fpop",fpop,poisson,,100,10,3.07011345732539,1e-09,10,0.01,4,2977543,2,NA
"dust",dust,poisson,detIndex_Eval4,100,20,3.07011345732539,1e-09,10,0.01,4,4088069,3,5
"fpop",fpop,poisson,,100,20,3.07011345732539,1e-09,10,0.01,4,5180145,1,NA
"dust",dust,poisson,detIndex_Eval4,100,30,3.07011345732539,1e-09,10,0.01,4,488310,4,4
"fpop",fpop,poisson,,100,30,3.07011345732539,1e-09,10,0.01,4,13699125,4,NA
"dust",dust,poisson,detIndex_Eval4,100,40,3.07011345732539,1e-09,10,0.01,4,450631,5,5
"fpop",fpop,poisson,,100,40,3.07011345732539,1e-09,10,0.01,4,3227725,3,NA
"dust",dust,poisson,detIndex_Eval4,100,50,3.07011345732539,1e-09,10,0.01,4,12775149,4,6
"fpop",fpop,poisson,,100,50,3.07011345732539,1e-09,10,0.01,4,3115836,2,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,0,3.60659276147009,1e-09,10,0.01,4,1740040,1,13
"fpop",fpop,poisson,,223.606797749979,0,3.60659276147009,1e-09,10,0.01,4,2996403,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,10,3.60659276147009,1e-09,10,0.01,4,520126,6,6
"fpop",fpop,poisson,,223.606797749979,10,3.60659276147009,1e-09,10,0.01,4,21864111,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,20,3.60659276147009,1e-09,10,0.01,4,1385718,6,6
"fpop",fpop,poisson,,223.606797749979,20,3.60659276147009,1e-09,10,0.01,4,3668803,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,30,3.60659276147009,1e-09,10,0.01,4,951200,8,8
"fpop",fpop,poisson,,223.606797749979,30,3.60659276147009,1e-09,10,0.01,4,3336334,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,40,3.60659276147009,1e-09,10,0.01,4,2561393,8,3
"fpop",fpop,poisson,,223.606797749979,40,3.60659276147009,1e-09,10,0.01,4,3522515,6,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,50,3.60659276147009,1e-09,10,0.01,4,737590,6,8
"fpop",fpop,poisson,,223.606797749979,50,3.60659276147009,1e-09,10,0.01,4,15741458,1,NA
"dust",dust,poisson,detIndex_Eval4,500,0,4.14307206561479,1e-09,10,0.01,4,877892,1,7
"fpop",fpop,poisson,,500,0,4.14307206561479,1e-09,10,0.01,4,23781271,1,NA
"dust",dust,poisson,detIndex_Eval4,500,10,4.14307206561479,1e-09,10,0.01,4,729390,11,5
"fpop",fpop,poisson,,500,10,4.14307206561479,1e-09,10,0.01,4,13133776,1,NA
