"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,variance,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,1,5983171,1,5
"fpop",fpop,variance,,100,0,9.21034037197618,1e-09,10,0.01,1,4530787,1,NA
"dust",dust,variance,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,1,474288,1,6
"fpop",fpop,variance,,100,10,9.21034037197618,1e-09,10,0.01,1,3064299,1,NA
"dust",dust,variance,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,1,525046,1,9
"fpop",fpop,variance,,100,20,9.21034037197618,1e-09,10,0.01,1,14595590,1,NA
"dust",dust,variance,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,1,1071166,1,7
"fpop",fpop,variance,,100,30,9.21034037197618,1e-09,10,0.01,1,7026662,1,NA
"dust",dust,variance,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,1,1272230,3,12
"fpop",fpop,variance,,100,40,9.21034037197618,1e-09,10,0.01,1,5539838,3,NA
"dust",dust,variance,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,1,7350152,2,7
"fpop",fpop,variance,,100,50,9.21034037197618,1e-09,10,0.01,1,2969630,2,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,1,1246400,1,5
"fpop",fpop,variance,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,1,4194136,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,1,1218602,1,4
"fpop",fpop,variance,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,1,8712664,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,1,1124466,1,5
"fpop",fpop,variance,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,1,7813534,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,1,1156774,1,5
"fpop",fpop,variance,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,1,7058273,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,1,437429,1,10
"fpop",fpop,variance,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,1,14199120,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,1,625537,1,7
"fpop",fpop,variance,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,1,3575036,1,NA
"dust",dust,variance,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,1,2834084,1,9
"fpop",fpop,variance,,500,0,12.4292161968444,1e-09,10,0.01,1,3946168,1,NA
"dust",dust,variance,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,1,540052,1,6
"fpop",fpop,variance,,500,10,12.4292161968444,1e-09,10,0.01,1,5063951,1,NA
"dust",dust,variance,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,1,751161,1,6
"fpop",fpop,variance,,500,20,12.4292161968444,1e-09,10,0.01,1,4136326,1,NA
"dust",dust,variance,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,1,2126957,1,5
"fpop",fpop,variance,,500,30,12.4292161968444,1e-09,10,0.01,1,4756738,1,NA
"dust",dust,variance,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,1,1585552,1,6
"fpop",fpop,variance,,500,40,12.4292161968444,1e-09,10,0.01,1,4568630,1,NA
"dust",dust,variance,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,1,653581,2,11
"fpop",fpop,variance,,500,50,12.4292161968444,1e-09,10,0.01,1,5580305,2,NA
"dust",dust,variance,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,2,1854020,1,6
"fpop",fpop,variance,,100,0,9.21034037197618,1e-09,10,0.01,2,6346513,1,NA
"dust",dust,variance,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,2,592942,1,5
"fpop",fpop,variance,,100,10,9.21034037197618,1e-09,10,0.01,2,5329139,1,NA
"dust",dust,variance,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,2,5444841,1,9
"fpop",fpop,variance,,100,20,9.21034037197618,1e-09,10,0.01,2,7039044,1,NA
"dust",dust,variance,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,2,952266,1,10
"fpop",fpop,variance,,100,30,9.21034037197618,1e-09,10,0.01,2,14420766,1,NA
"dust",dust,variance,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,2,491098,1,8
"fpop",fpop,variance,,100,40,9.21034037197618,1e-09,10,0.01,2,4691507,1,NA
"dust",dust,variance,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,2,471008,2,4
"fpop",fpop,variance,,100,50,9.21034037197618,1e-09,10,0.01,2,5582642,2,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,2,1307367,1,6
"fpop",fpop,variance,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,2,10527037,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,2,527875,1,5
